SourceFile,DATE,TIME,REGION,PROVINCE,MUNICIPALITY,BRGYS,AFFECTED_FAM,AFFECTED_PERSONS,ECS_CUM,ECS_NOW,IDP_EC_FAM_CUM,IDP_EC_FAM_NOW,IDP_IN_EC_PERS_CUM,IDP_IN_EC_PERS_NOW,IDP_OUT_EC_FAM_CUM,IDP_OUT_EC_FAM_NOW,IDP_OUT_EC_PERS_CUM,IDP_OUT_EC_PERS_NOW,TOT_IDP_FAM_CUM,TOT_IDP_FAM_NOW,TOT_IDP_PERS_CUM,TOT_IDP_PERS_NOW,TOT_HOUSE_DAMAGED,HOUSE_TOTALLY_DAMAGED,HOUSE_PARTIALLY_DAMAGED,LATEST_INFO,CONCATENATE,REGION STD,PROVINCE STD,MUNICIPALITY STD,PCODE3,MapProvinceName
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,ILOILO,Tigbauan,11,690,3450,,,,,,,690,690,3450,3450,690,690,3450,3450,0,0,0,TRUE,VIILOILOTigbauan,REGION VI (WESTERN VISAYAS),ILOILO,TIGBAUAN,063045000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,ILOILO,Tubungan,37,320,1335,,,,,,,320,320,1335,1335,320,320,1335,1335,309,66,243,TRUE,VIILOILOTubungan,REGION VI (WESTERN VISAYAS),ILOILO,TUBUNGAN,063046000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,ILOILO,Zarraga,24,5151,23693,2,0,653,0,3265,0,3576,3573,16188,16188,4229,3573,19453,16188,72,46,26,TRUE,VIILOILOZarraga,REGION VI (WESTERN VISAYAS),ILOILO,ZARRAGA,063047000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,ILOILO,Passi City,37,17318.0434782609,79663,15,0,750,0,3750,0,14991,14991,67417,67417,15741,14991,71167,67417,15471,7186,8285,TRUE,VIILOILOPassi City,REGION VI (WESTERN VISAYAS),ILOILO,CITY OF PASSI,063035000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,ILOILO,Iloilo City,95,5740,28700,9,0,239,0,1195,0,5501,5501,27505,27505,5740,5501,28700,27505,194,73,121,TRUE,VIILOILOIloilo City,REGION VI (WESTERN VISAYAS),ILOILO,ILOILO CITY (CAPITAL),063022000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Binalbagan,15,520,1929,,,,,,,520,520,1929,1929,520,520,1929,1929,27,5,22,TRUE,VINEGROS OCC.Binalbagan,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,BINALBAGAN,064503000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Calatrava,28,2514,12570,,,,,,,2514,2514,12570,12570,2514,2514,12570,12570,828,388,440,TRUE,VINEGROS OCC.Calatrava,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,CALATRAVA,064505000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Candoni,4,200,766,,,,,,,200,200,766,766,200,200,766,766,0,,,TRUE,VINEGROS OCC.Candoni,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,CANDONI,064506000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Cauayan,7,1148,6877,,,,,,,1148,1148,6877,6877,1148,1148,6877,6877,126,45,81,TRUE,VINEGROS OCC.Cauayan,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,CAUAYAN,064507000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,E.B.Magalona,23,12920.4347826087,59434,2,0,124,0,444,0,3679,3679,17050,17050,3803,3679,17494,17050,2488,368,2120,TRUE,VINEGROS OCC.E.B.Magalona,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA (SARAVIA),064508000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Hinigaran,19,509,2545,1,0,24,0,120,0,485,485,2425,2425,509,485,2545,2425,140,22,118,TRUE,VINEGROS OCC.Hinigaran,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,HINIGARAN,064511000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Hinoba-an,13,2580,12900,12,0,725,0,3625,0,1855,1855,9275,9275,2580,1855,12900,9275,0,,0,TRUE,VINEGROS OCC.Hinoba-an,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,HINOBA-AN (ASIA),064512000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Ilog,8,766,3830,1,0,121,0,805,0,645,645,3025,3025,766,645,3830,3025,124,37,87,TRUE,VINEGROS OCC.Ilog,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,ILOG,064513000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Isabela,12,1219,5381,1,0,285,0,1083,0,934,934,4298,4298,1219,934,5381,4298,0,,,TRUE,VINEGROS OCC.Isabela,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,ISABELA,064514000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,La Castellana,4,336,1680,,,,,,,336,336,1680,1680,336,336,1680,1680,16,9,7,TRUE,VINEGROS OCC.La Castellana,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,LA CASTELLANA,064517000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Manapla,12,11454,52687,,,,,,,5272,5272,24251,24251,5272,5272,24251,24251,5272,1264,4008,TRUE,VINEGROS OCC.Manapla,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,MANAPLA,064518000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Moises Padilla,8,224,829,1,0,11,0,55,0,213,213,774,774,224,213,829,774,4,,4,TRUE,VINEGROS OCC.Moises Padilla,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,MOISES PADILLA (MAGALLON),064519000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Murcia,16,460,2538,,,,,,,460,460,2538,2538,460,460,2538,2538,124,26,98,TRUE,VINEGROS OCC.Murcia,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,MURCIA,064520000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Pontevedra,15,626,2609,29,0,578,0,2065,0,48,48,544,544,626,48,2609,544,113,19,94,TRUE,VINEGROS OCC.Pontevedra,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,PONTEVEDRA,064521000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Pulupandan,20,782,2857,1,0,14,0,70,0,768,768,2787,2787,782,768,2857,2787,174,5,169,TRUE,VINEGROS OCC.Pulupandan,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,PULUPANDAN,064522000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Salvador Benedicto,7,142,710,1,0,1,0,5,0,141,141,705,705,142,141,710,705,142,22,120,TRUE,VINEGROS OCC.Salvador Benedicto,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,SALVADOR BENEDICTO,064532000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,San Enrique,8,107,398,,,,,,,107,107,398,398,107,107,398,398,51,4,47,TRUE,VINEGROS OCC.San Enrique,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,SAN ENRIQUE,064525000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Toboso,9,2087,10435,,,,,,,2087,2087,10435,10435,2087,2087,10435,10435,1506,233,1273,TRUE,VINEGROS OCC.Toboso,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,TOBOSO,064529000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Valladolid,14,662,3310,,,,,,,662,662,3310,3310,662,662,3310,3310,428,19,409,TRUE,VINEGROS OCC.Valladolid,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,VALLADOLID,064530000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Bacolod City,43,6428,38568,85,0,6378,0,38202,0,50,50,366,366,6428,50,38568,366,808,93,715,TRUE,VINEGROS OCC.Bacolod City,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,BACOLOD CITY (CAPITAL),064501000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Bago City,20,1341,5730,4,0,978,0,4890,0,363,363,840,840,1341,363,5730,840,31,13,18,TRUE,VINEGROS OCC.Bago City,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,BAGO CITY,064502000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Cadiz City,22,32934.7826086957,151500,12,0,565,0,2825,0,23995,23995,110151,110151,24560,23995,112976,110151,24210,5636,18574,TRUE,VINEGROS OCC.Cadiz City,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,CADIZ CITY,064504000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Escalante City,21,20218.4782608696,93005,6,0,254,0,1001,0,5784,5784,26774,26774,6038,5784,27775,26774,6038,753,5285,TRUE,VINEGROS OCC.Escalante City,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,CITY OF ESCALANTE,064509000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Himamaylan City,16,1328,6640,,,,,,,1328,1328,6640,6640,1328,1328,6640,6640,0,,,TRUE,VINEGROS OCC.Himamaylan City,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,CITY OF HIMAMAYLAN,064510000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Kabankalan City,17,1253,4900,,,,,,,1253,1253,4900,4900,1253,1253,4900,4900,0,,,TRUE,VINEGROS OCC.Kabankalan City,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,CITY OF KABANKALAN,064515000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,La Carlota City,14,583,2156,,,,,,,583,583,2156,2156,583,583,2156,2156,124,27,97,TRUE,VINEGROS OCC.La Carlota City,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,LA CARLOTA CITY,064516000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Sagay City,25,30595.652173913,140740,3,0,330,0,1650,0,12938,12938,59383,59383,13268,12938,61033,59383,13184,3426,9758,TRUE,VINEGROS OCC.Sagay City,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,SAGAY CITY,064523000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,San Carlos City,17,3543,13859,,,,,,,3543,3543,13859,13859,3543,3543,13859,13859,133,41,92,TRUE,VINEGROS OCC.San Carlos City,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,SAN CARLOS CITY,064524000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Silay City,17,26304,120999,9,0,211,0,882,0,2693,2693,12476,12476,2904,2693,13358,12476,1506,191,1315,TRUE,VINEGROS OCC.Silay City,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,SILAY CITY,064526000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Sipalay City,13,1498,5131,,,,,,,1498,1498,5131,5131,1498,1498,5131,5131,13,5,8,TRUE,VINEGROS OCC.Sipalay City,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,CITY OF SIPALAY,064527000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Talisay City,25,1628,7102,9,0,1598,0,7080,0,30,30,132,132,1628,30,7212,132,450,51,399,TRUE,VINEGROS OCC.Talisay City,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,CITY OF TALISAY,064528000,Err:508
VI Rpt#131 T.Yolanda 11.6.13 @01.06.14  6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VI,NEGROS OCC.,Victorias City,26,19195.4347826087,88299,16,0,4822,0,24110,0,483,483,2221,2221,5305,483,26331,2221,5008,638,4370,TRUE,VINEGROS OCC.Victorias City,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,CITY OF VICTORIAS,064531000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Alicia,15,4643,22285,7,0,1660,0,7964,0,762,,3590,,2422,0,11554,0,0,,,TRUE,VIIBOHOLAlicia,REGION VII (CENTRAL VISAYAS),BOHOL,ALICIA,071202000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Anda,16,3523,16909,5,0,128,0,614,0,,,,,128,0,614,0,0,,,TRUE,VIIBOHOLAnda,REGION VII (CENTRAL VISAYAS),BOHOL,ANDA,071203000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Antequera,21,3017,14481,1,0,23,0,100,0,,,,,23,0,100,0,0,,,TRUE,VIIBOHOLAntequera,REGION VII (CENTRAL VISAYAS),BOHOL,ANTEQUERA,071204000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Batuan,1,2589.7916666667,12431,39,0,500,0,2398.4,0,23,,110,,523,0,2508.4,0,,,,TRUE,VIIBOHOLBatuan,REGION VII (CENTRAL VISAYAS),BOHOL,BATUAN,071207000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Bilar,19,3562,17098,26,0,383,0,1651,0,139,,760,,522,0,2411,0,0,,,TRUE,VIIBOHOLBilar,REGION VII (CENTRAL VISAYAS),BOHOL,BILAR,071208000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Buenavista,35,5631,27031,5,0,187,0,736,0,2,2,8,8,189,2,744,8,2,1,1,TRUE,VIIBOHOLBuenavista,REGION VII (CENTRAL VISAYAS),BOHOL,BUENAVISTA,071209000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Calape,33,6280,30146,24,0,1295,0,5356.8,0,13,,53,,1308,0,5409.8,0,0,,,TRUE,VIIBOHOLCalape,REGION VII (CENTRAL VISAYAS),BOHOL,CALAPE,071210000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Candijay,21,6051,29043,21,0,563,0,2651,0,167,,824,,730,0,3475,0,0,,,TRUE,VIIBOHOLCandijay,REGION VII (CENTRAL VISAYAS),BOHOL,CANDIJAY,071211000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Carmen,29,9079,43579,14,0,348,0,1557.8,0,,,,,348,0,1557.8,0,0,,,TRUE,VIIBOHOLCarmen,REGION VII (CENTRAL VISAYAS),BOHOL,CARMEN,071212000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Catigbian,22,4726,22686,8,0,349,0,1674.6,0,,,0,,349,0,1674.6,0,0,0,0,TRUE,VIIBOHOLCatigbian,REGION VII (CENTRAL VISAYAS),BOHOL,CATIGBIAN,071213000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Clarin,24,4228,20296,8,0,343,0,1648,0,256,,1147,,599,0,2795,0,0,,,TRUE,VIIBOHOLClarin,REGION VII (CENTRAL VISAYAS),BOHOL,CLARIN,071214000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Dagohoy,5,3931,18868,,,,,,,16,16,77,77,16,16,77,77,16,3,13,TRUE,VIIBOHOLDagohoy,REGION VII (CENTRAL VISAYAS),BOHOL,DAGOHOY,071217000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Dimiao,2,3160,15166,,,,,,,4,4,18,18,4,4,18,18,2,2,,TRUE,VIIBOHOLDimiao,REGION VII (CENTRAL VISAYAS),BOHOL,DIMIAO,071220000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Duero,18,3663,17580,,,,,,,718,718,677,677,718,718,677,677,11,,11,TRUE,VIIBOHOLDuero,REGION VII (CENTRAL VISAYAS),BOHOL,DUERO,071221000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Guindulman,19,6623,31789,1,0,98,0,470,0,1110,1110,5328,5328,1208,1110,5798,5328,13,,13,TRUE,VIIBOHOLGuindulman,REGION VII (CENTRAL VISAYAS),BOHOL,GUINDULMAN,071223000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Inabanga,20,9019,43291,20,0,1589,0,7627,0,30,30,144,144,1619,30,7771,144,30,30,,TRUE,VIIBOHOLInabanga,REGION VII (CENTRAL VISAYAS),BOHOL,INABANGA,071224000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Jagna,33,6785,32566,10,0,418,0,1596,0,,,,,418,0,1596,0,0,,,TRUE,VIIBOHOLJagna,REGION VII (CENTRAL VISAYAS),BOHOL,JAGNA,071225000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Lila,18,2497,11985,,,,,,,,,,,0,0,0,0,0,,,TRUE,VIIBOHOLLila,REGION VII (CENTRAL VISAYAS),BOHOL,LILA,071227000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Loay,24,3388,16261,28,0,710,0,3408,0,,,,,710,0,3408,0,0,,,TRUE,VIIBOHOLLoay,REGION VII (CENTRAL VISAYAS),BOHOL,LOAY,071228000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Loboc,28,3398,16312,6,0,73,0,378,0,,,,,73,0,378,0,0,,,TRUE,VIIBOHOLLoboc,REGION VII (CENTRAL VISAYAS),BOHOL,LOBOC,071229000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Loon,67,8917,42800,2,0,123,0,528,0,,,,,123,0,528,0,0,,,TRUE,VIIBOHOLLoon,REGION VII (CENTRAL VISAYAS),BOHOL,LOON,071230000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Mabini,22,5870,28174,4,0,258,0,1238,0,,,,,258,0,1238,0,0,,,TRUE,VIIBOHOLMabini,REGION VII (CENTRAL VISAYAS),BOHOL,MABINI,071231000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Maribojoc,22,4269,20491,1,0,83,0,260,0,,,,,83,0,260,0,0,,,TRUE,VIIBOHOLMaribojoc,REGION VII (CENTRAL VISAYAS),BOHOL,MARIBOJOC,071232000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Panglao,2,5959,28603,,,,,,,,,,,0,0,0,0,9,1,8,TRUE,VIIBOHOLPanglao,REGION VII (CENTRAL VISAYAS),BOHOL,PANGLAO,071233000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Pilar,21,5601,26887,5,0,108,0,524,0,,,,,108,0,524,0,0,,,TRUE,VIIBOHOLPilar,REGION VII (CENTRAL VISAYAS),BOHOL,PILAR,071234000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Pres.CP Garcia,23,4851,23287,6,0,349,0,1675.2,0,,,,,349,0,1675.2,0,101,11,90,TRUE,VIIBOHOLPres.CP Garcia,REGION VII (CENTRAL VISAYAS),BOHOL,PRES. CARLOS P. GARCIA (PITOGO),071235000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Sagbayan,24,4186,20091,1,0,45,0,190,0,,,,,45,0,190,0,0,,,TRUE,VIIBOHOLSagbayan,REGION VII (CENTRAL VISAYAS),BOHOL,SAGBAYAN (BORJA),071236000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,San Isidro,12,1901,9125,1,0,94,0,325,0,,,,,94,0,325,0,0,,,TRUE,VIIBOHOLSan Isidro,REGION VII (CENTRAL VISAYAS),BOHOL,SAN ISIDRO,071237000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,San Miguel,18,4911,23574,7,0,150,0,720,0,,,,,150,0,720,0,1196,135,1061,TRUE,VIIBOHOLSan Miguel,REGION VII (CENTRAL VISAYAS),BOHOL,SAN MIGUEL,071238000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Sevilla,13,2176,10443,6,0,89,0,454,0,9,,44,,98,0,498,0,0,,,TRUE,VIIBOHOLSevilla,REGION VII (CENTRAL VISAYAS),BOHOL,SEVILLA,071239000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Sierra Bullones,2,5145,24698,,,,,,,2,2,8,8,2,2,8,8,2,1,1,TRUE,VIIBOHOLSierra Bullones,REGION VII (CENTRAL VISAYAS),BOHOL,SIERRA BULLONES,071240000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Talibon,1,12786,61373,,,,,,,1121,1121,4950,4950,1121,1121,4950,4950,407,7,400,TRUE,VIIBOHOLTalibon,REGION VII (CENTRAL VISAYAS),BOHOL,TALIBON,071243000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Trinidad,20,6006,28828,29,0,3689,0,17113,0,,,,,3689,0,17113,0,12,,12,TRUE,VIIBOHOLTrinidad,REGION VII (CENTRAL VISAYAS),BOHOL,TRINIDAD,071244000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Tubigon,34,9355,44902,31,0,987,0,4510.2,0,313,,1503,,1300,0,6013.2,0,0,,,TRUE,VIIBOHOLTubigon,REGION VII (CENTRAL VISAYAS),BOHOL,TUBIGON,071245000,Err:508
vii I rpt.131 T.Yolanda 11.6.13 @01.06.14 6am NDRRMC.xls,01/06/2014,01/13/14 06:00 AM,VII,BOHOL,Ubay,44,14287,68578,3,0,473,0,2270,0,3,3,14,14,476,3,2284,14,168,6,162,TRUE,VIIBOHOLUbay,REGION VII (CENTRAL VISAYAS),BOHOL,UBAY,071246000,Err:508
